m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.01vqq1	New Westminster	organization.organization_scope,location.location,film.film_location,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,business.employer,location.citytown
m.09ctj	Norfolk	organization.organization_scope,location.location,location.administrative_division,location.statistical_region,government.governmental_jurisdiction
m.0g9f56	Dolo	location.location,location.statistical_region,location.citytown
m.0bpjq1	Ryley	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.02n0ys	Murska Sobota	location.location,location.administrative_division,location.statistical_region,location.citytown
m.02hb64	Château de Vincennes	location.location,architecture.structure
m.0bpdlm	Annadale Grammar School	education.educational_institution,organization.organization,education.school,business.employer
m.02h7qr	Towson University	location.location,education.educational_institution,organization.organization,book.newspaper_owner,book.periodical_publisher,award.ranked_item,education.educational_institution_campus,award.award_winner,business.employer
m.0byl3l	Piner High School	education.educational_institution,organization.organization,business.employer,education.school
m.0dx9p1	St. John's Preparatory School	education.educational_institution,organization.organization,business.employer,education.school
m.055wc2	King's College, Aberdeen	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0lk0l	University of Paris	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.01rk2p	Little Rock Central High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,architecture.structure,education.school,protected_sites.listed_site,business.employer
m.0l9nq	École Centrale Paris	location.location,education.educational_institution,organization.organization,organization.organization_founder,education.educational_institution_campus,business.employer
m.07szy	University of Michigan	location.location,protected_sites.governing_body_of_protected_sites,organization.organization_member,architecture.architectural_structure_owner,education.educational_institution,organization.organization,organization.organization_founder,award.ranked_item,book.periodical_publisher,award.award_winner,education.educational_institution_campus,business.employer
m.0bq_cv	Derby High School, Greater Manchester	education.educational_institution,organization.organization,business.employer,education.school
m.075__nd	Grafton High School	location.location,education.educational_institution,organization.organization,business.employer,education.school
m.02r58ln	Brunswick South Primary School	education.educational_institution,organization.organization,education.school,business.employer
m.0408_4	Little Red School House	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.089114	Athens School of Fine Arts	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0cqh4x	Ursuline High School	education.educational_institution,organization.organization,education.school,business.employer
m.04gd8j	Santa Monica College	location.location,education.educational_institution,organization.organization,broadcast.radio_station_owner,education.educational_institution_campus,business.brand,business.employer
m.03wlfv	Williston Northampton School	location.location,education.educational_institution,organization.organization,business.business_operation,education.educational_institution_campus,education.school,business.employer
m.026wkbm	Tormead School	location.location,education.educational_institution,organization.organization,business.employer
m.02pn5fz	Queen Margaret's School, York	location.location,education.educational_institution,organization.organization,business.employer
m.07cg94	Townsend Harris High School	education.educational_institution,organization.organization,business.employer,education.school
m.0cqwjm	Valencia High School	education.educational_institution,organization.organization,education.school,business.employer
m.060_1n	Bishop Kelley High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer,education.school
m.019kx6	Dragon School	education.educational_institution,organization.organization,education.school,business.employer
m.0dzbl	Eton College	location.location,education.educational_institution,organization.organization,business.business_operation,education.educational_institution_campus,business.employer,education.school
m.02r6nk7	Wendell Phillips Academy High School	education.educational_institution,organization.organization,education.school,business.employer
m.029fvh	West Texas A&M University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,award.award_winner,business.employer
m.02qw_v	Hobart and William Smith Colleges	location.location,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,organization.organization_member,education.educational_institution_campus,business.employer
m.02hdpx	Choate Rosemary Hall	education.educational_institution,organization.organization,education.school,business.employer
m.01_sqv	Royal Military College of Canada	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0268bpp	El Capitan High School	education.educational_institution,organization.organization,education.school,business.employer
m.01r45j	Kean University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.05295q	Commonwealth School	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.0gkpc1	St Kieran's College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.02ln0t	Leeds Grammar School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.04ft20	Achimota School	education.educational_institution,organization.organization,education.school,business.employer
m.01fpvz	Yale College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
